time,rw1,rw2,rw3
1,1,-1,1
11,0,0,0
21,1,1,-1
31,0,0,-2
41,-1,1,-1
51,0,0,-2
61,-1,-1,-1
71,-2,-2,0
81,-3,-1,1
91,-2,0,2
101,-3,-1,3
111,-2,0,4
121,-3,1,5
131,-4,0,4
141,-3,-1,5
151,-4,0,4
161,-3,-1,5
171,-2,-2,6
181,-1,-3,5
191,-2,-2,4
201,-3,-3,5
211,-4,-2,4
221,-5,-1,3
231,-6,0,2
241,-7,1,3
251,-8,0,4
261,-9,1,5
271,-10,2,4
281,-9,3,3
291,-8,2,2
301,-9,1,1
311,-10,0,2
321,-11,-1,1
331,-12,-2,2
341,-11,-3,3
351,-10,-4,4
361,-11,-5,5
371,-10,-6,4
381,-9,-7,5
391,-8,-6,4
401,-7,-5,3
411,-6,-4,2
421,-5,-3,3
431,-4,-2,2
441,-3,-3,3
451,-2,-2,2
461,-1,-1,3
471,0,0,2
481,1,1,1
491,0,0,0
501,1,-1,1
511,2,0,2
521,1,1,1
531,2,2,2
541,1,3,1
551,2,4,0
561,3,3,1
571,2,4,2
581,1,5,3
591,2,6,2
601,1,5,1
611,2,6,0
621,3,5,-1
631,4,6,-2
641,3,7,-3
651,4,6,-4
661,3,5,-3
671,2,6,-2
681,1,7,-1
691,2,8,-2
701,1,7,-3
711,0,8,-2
721,-1,7,-1
731,0,6,0
741,1,5,-1
751,2,4,-2
761,3,5,-3
771,2,4,-2
781,3,3,-1
791,4,2,-2
801,5,1,-3
811,4,2,-2
821,5,1,-1
831,4,2,0
841,5,1,1
851,6,2,2
861,5,3,3
871,4,2,4
881,3,1,5
891,4,0,4
901,5,1,5
911,4,2,6
921,5,1,7
931,4,0,6
941,5,-1,5
951,6,0,4
961,5,1,3
971,6,0,4
981,7,1,5
991,6,0,4
